ID,Density,ReferenceRatio
1,0.0534,15
2,0.0569,15
3,0.0568,15
4,0.0448,15
5,0.0541,15
6,0.0563,15
7,0.0526,15
8,0.0476,15
9,0.0580,15
10,0.0545,15
11,0.0556,15
12,0.0567,15
13,0.0576,15
14,0.0518,15
15,0.0566,15
16,0.0559,15
17,0.0579,15
18,0.0550,15
19,0.0575,15
20,0.0575,15
21,0.0576,15
22,0.0571,15
23,0.0579,15
24,0.0426,15
25,0.0535,15
26,0.0565,15
27,0.0557,15
28,0.0562,15
29,0.0568,15
30,0.0581,15
31,0.0553,15
32,0.0547,15
33,0.0575,15
34,0.0443,15
35,0.0578,15
36,0.0566,15
37,0.0577,15
38,0.0544,15
39,0.0574,15
40,0.0538,15
41,0.0539,15
42,0.0585,15
43,0.0572,15
44,0.0571,15
45,0.0557,15
46,0.0570,15
47,0.0548,15
48,0.0560,15
49,0.0555,15
50,0.0497,15
51,0.0573,15
52,0.0578,15
53,0.0552,15
54,0.0567,15
55,0.0523,15
56,0.0547,15
57,0.0558,15
58,0.0540,15
59,0.0538,15
60,0.0528,15
61,0.0543,15
62,0.0570,15
63,0.0560,15
64,0.0554,15
65,0.0548,15
66,0.0529,15
67,0.0496,15
68,0.0576,15
69,0.0526,15
70,0.0491,15
71,0.0442,15
72,0.0530,15
73,0.0578,15
74,0.0558,15
75,0.0530,15
76,0.0424,15
77,0.0582,15
78,0.0578,15
79,0.0520,15
80,0.0551,15
81,0.0490,15
82,0.0541,15
83,0.0562,15
84,0.0533,15
85,0.0475,15
86,0.0433,15
87,0.0573,15
88,0.0574,15
89,0.0575,15
90,0.0548,15